South Dakota,Black Hills,Climate Division 4,Palmer Drought Severity Index (PDSI),,,,,,,,,,
Year,AcresBurned,January,February,March,April,May,June,July,August,September,October,November,December
1978,0,2.1,2.31,1.76,2,3.21,2.26,3.19,3.46,-0.49,-0.81,0.29,0.59
1979,0,0.68,0.78,-0.31,-0.79,-1.32,0.03,1.47,2.63,-0.57,-0.65,-0.67,-0.91
1980,1016.3,-0.92,-0.97,-0.83,-1.24,-1.49,-1.98,-2.52,-2.06,-2.41,-1.58,-1.66,-1.27
1981,932.4,-1.54,-1.85,-2.82,-4.2,-3.31,-3.82,0.86,-0.47,-0.93,-0.22,-0.83,-0.71
1982,0,-0.56,-0.71,-0.43,-0.76,1.72,2.11,2.67,3.42,4.2,5.17,4.94,4.94
1983,1425.4,4.84,4.35,4.93,4.68,4.39,3.65,3.09,3.47,2.57,3.06,3.49,3.55
1984,0,3.02,2.56,2.38,3.42,2.79,3.19,3.57,3.52,3.1,2.81,2.7,2.49
1985,39617.9,-0.06,-0.4,-0.21,-1.1,-2.28,-2.99,-3.63,-4.3,0.43,0.18,1.18,1.48
1986,0,1.29,1.79,0.91,1.85,1.27,1.66,1.73,1.46,3.69,4.51,4.98,4.47
1987,0,4.17,5.31,6.08,-0.95,-0.56,-1.75,-2.39,-1.96,-2.13,-2.22,-2.43,-2.37
1988,24138.5,-2.41,-2.46,-2.47,-3.35,-3.71,-4.55,-5.49,-5.46,-5.39,-5.28,-4.62,-4.43
1989,183.1,-4.58,-4.36,-4.2,-4.02,-4.36,-4.77,-5.17,-5.2,1.11,1.38,1.27,1.54
1990,14517.7,1.03,0.94,0.9,0.8,1.2,-0.94,-0.23,-0.49,-0.74,-0.78,-1.07,-0.95
1991,8454.1,-1.02,-0.75,-1.3,0.38,1.63,1.76,1.66,1.41,0.94,1.09,1.38,-0.47
1992,0,-0.64,-0.96,-0.75,-1.24,-1.64,-0.04,0.89,-0.03,-0.49,-0.78,0.17,0.63
1993,0,0.89,1.28,1.14,1.52,1.87,3.05,4.42,5.04,5.08,5.32,5.31,5.74
1994,0,6.2,6.28,5.9,5.63,-0.75,-1.72,-1.91,-2.41,-2.93,2.66,2.8,2.71
1995,0,2.35,2.54,2.81,3.24,5.1,5.41,5.79,5.18,5.01,5.8,5.41,4.76
1996,203.5,5.12,4.56,5.09,5.09,6.26,4.85,4.16,4.75,4.97,6.5,6.12,6.6
1997,4335.8,6.46,6.58,6,6.69,6.8,5.93,7.67,7.89,7.52,6.87,6.18,5.7
1998,0,5.35,5.61,6.3,5.29,4.52,5.48,5.79,6.68,6.83,9.45,9.55,8.92
1999,360.1,8.93,8.07,7.64,8.17,7.32,8.04,7.44,7.81,7.33,-0.6,-1.16,-1.26
2000,91940.4,-1.02,-0.83,-0.98,1.23,-0.06,-0.42,-0.3,-1.06,-1.43,-1.37,1.01,0.78
2001,35817.2,0.48,0.79,0.67,0.62,0.12,0.01,0.92,-0.14,-0.56,-0.2,-0.58,-1.12
2002,26835,-1.4,-1.58,-1.33,-1.54,-1.72,-2.93,-3.83,-3.58,-2.18,-1.49,-1.77,-2.02
2003,17679.6,-1.57,-1.2,-0.65,-0.56,-0.86,-0.56,-1.58,-1.97,-1.46,-1.85,-1.38,-1.4
2004,0,-1.47,-1.1,-1.67,-2.51,-3.18,-3.96,-3.76,-4.21,-3.57,-3.2,-3.44,-3.73
2005,7791.1,-3.55,-3.8,-4.2,-4.36,-3.67,-3.72,-3.93,-3.56,-3.74,-3.25,-3.41,-3.23
2006,619,-3.48,-3.19,-2.65,-2.37,-2.37,-3.29,-4.24,-4.15,-3,-2.78,-2.72,-2.97
2007,10643,-3.03,-2.63,-3.21,-3.45,-3.25,-3.87,-4.41,-3.85,-3.93,-3.68,-3.94,-3.51
2008,183.6,-3.3,-3.06,-2.97,-3.02,1.93,2.17,2.85,3.13,3.11,3.15,3.35,3.35
2009,0,3.49,3.49,4.16,5.01,3.94,3.69,3.88,4.05,3.79,5.13,4.18,4.57
2010,0,4.21,4.19,3.5,4.17,5.13,5.19,4.93,4.65,4.17,3.57,3.33,3.27
2011,16738.3,3.52,3.85,3.9,3.68,5.51,4.78,4.41,4.37,-0.39,-0.63,-0.3,-0.23
2012,23081.5,-0.28,-0.04,-1.71,-2.38,-2.83,-3.74,-4.16,-5.23,-5.98,-5.41,-5.28,-5.07
2013,64,-4.58,-4.58,-4.75,0.46,0.71,0.06,0.55,1.38,1.36,5.03,4.87,5.34
2014,10,5.26,5.31,5.86,5.7,5.18,5.61,5.02,5.53,7.06,6.43,6.31,5.95
2015,0,5.57,5.22,4,0,0,0,0,0,0,0,0,0
